"id","name_th","name_en","order_on","status","created_on","created_by","updated_on","updated_by"
"1","คู่รัก","Lover","1","Y","2019-02-12 00:32:05","-","0000-00-00 00:00:00","-"
"2","ครอบครัว","Family","2","Y","2019-02-12 00:32:05","-","0000-00-00 00:00:00","-"
"3","เหมาะสำหรับมาเป็นกลุ่ม","Group","3","Y","2019-02-12 00:32:05","-","0000-00-00 00:00:00","-"
"4","เหมาะสำหรับเด็กๆ","Children","4","Y","2019-02-12 00:32:06","-","0000-00-00 00:00:00","-"
"5","เหมาะสำหรับคนเดียว","Lonely","5","Y","2019-02-12 00:32:06","-","0000-00-00 00:00:00","-"
"6","เหมาะสำหรับการจัดเลี้ยง","Party","6","Y","2019-02-12 00:32:06","-","0000-00-00 00:00:00","-"
"7","เหมาะสำหรับสังสรรค์","Hang Out","7","Y","2019-02-12 00:32:06","-","0000-00-00 00:00:00","-"
